gene_symbol,ensembl_id,chr,start,end,strand
Gm26206,ENSMUSG00000064842,1,3172239,3172348,+
Xkr4,ENSMUSG00000051951,1,3276124,3741721,-
Gm1992,ENSMUSG00000089699,1,3536810,3583776,+
Gm19938,ENSMUSG00000102331,1,3717532,3729127,-
Gm27396,ENSMUSG00000088333,1,3854099,3854156,-
Gm37381,ENSMUSG00000102343,1,3975962,4056438,-
Rp1,ENSMUSG00000025900,1,4069780,4479464,-
Sox17,ENSMUSG00000025902,1,4561154,4567577,-
Gm37587,ENSMUSG00000104238,1,4566774,4569781,+
Gm22307,ENSMUSG00000118917,1,4599240,4599346,+
Gm37323,ENSMUSG00000104328,1,4653352,4656475,-
Gm56275,ENSMUSG00002075947,1,4793500,4793602,-
Mrpl15,ENSMUSG00000033845,1,4843429,4855962,-
Lypla1,ENSMUSG00000025903,1,4878011,4918633,+
Gm37988,ENSMUSG00000104217,1,4878115,4956993,+
Tcea1,ENSMUSG00000033813,1,4928037,4968132,+
Rgs20,ENSMUSG00000002459,1,4979799,5140508,-
Gm16041,ENSMUSG00000085623,1,5041080,5047043,+
Atp6v1h,ENSMUSG00000033793,1,5140241,5232752,+
Oprk1,ENSMUSG00000025905,1,5658689,5676354,+
Gm56304,ENSMUSG00002076544,1,5714868,5714968,-
Npbwr1,ENSMUSG00000033774,1,5983926,5987617,-
4732440D04Rik,ENSMUSG00000090031,1,6234353,6285517,-
Rb1cc1,ENSMUSG00000025907,1,6276421,6346872,+
Alkal1,ENSMUSG00000087247,1,6429442,6464955,+
St18,ENSMUSG00000033740,1,6557455,6931164,+
Pcmtd1,ENSMUSG00000051285,1,7159144,7243852,+
Gm23274,ENSMUSG00000077244,1,7336027,7336156,+
Gm26901,ENSMUSG00000097797,1,7419630,7468093,-
Gm30414,ENSMUSG00000103067,1,7568192,7588373,+
Sntg1,ENSMUSG00000025909,1,8431699,9370103,-
Gm54704,ENSMUSG00002074990,1,8658839,8658948,-
Gm54706,ENSMUSG00002075967,1,8886362,8886471,+
Gm24765,ENSMUSG00000065625,1,9528895,9528997,+
Rrs1,ENSMUSG00000061024,1,9615633,9617680,+
Adhfe1,ENSMUSG00000025911,1,9618173,9650898,+
2610203C22Rik,ENSMUSG00000079671,1,9630705,9701406,-
Vxn,ENSMUSG00000067879,1,9671424,9697368,+
Gm29520,ENSMUSG00000099827,1,9709480,9710807,-
Mybl1,ENSMUSG00000025912,1,9737640,9770434,-
Vcpip1,ENSMUSG00000045210,1,9788847,9818607,-
1700034P13Rik,ENSMUSG00000097893,1,9817873,9862152,+
Sgk3,ENSMUSG00000025915,1,9868332,9971070,+
Gm54812,ENSMUSG00002075801,1,9904723,9904827,-
Snhg6,ENSMUSG00000098234,1,9926809,10014398,-
Mcmdc2,ENSMUSG00000046101,1,9978863,10012310,+
Snord87,ENSMUSG00000093178,1,10012688,10012774,-
Tcf24,ENSMUSG00000099032,1,10030388,10038157,-
Ppp1r42,ENSMUSG00000025916,1,10038849,10079361,-
Gm15818,ENSMUSG00000087199,1,10052612,10062591,+
Gm24674,ENSMUSG00000119658,1,10080039,10080142,-
Cops5,ENSMUSG00000025917,1,10094826,10108393,-
Cspp1,ENSMUSG00000056763,1,10108212,10206993,+
Arfgef1,ENSMUSG00000067851,1,10207796,10302895,-
Cpa6,ENSMUSG00000042501,1,10394945,10790170,-
Gm25253,ENSMUSG00000119312,1,10625779,10625885,-
Gm54912,ENSMUSG00002076499,1,10991894,10991984,+
Prex2,ENSMUSG00000048960,1,11063689,11373905,+
Gm24173,ENSMUSG00000077318,1,11204335,11204462,-
A830018L16Rik,ENSMUSG00000057715,1,11484329,12046125,+
Gm22633,ENSMUSG00000118923,1,12445160,12445266,+
Mir6341,ENSMUSG00000098555,1,12496210,12496330,+
Gm17644,ENSMUSG00000097171,1,12737787,12743314,+
Gm29663,ENSMUSG00000101314,1,12740548,12741400,-
Sulf1,ENSMUSG00000016918,1,12762501,12931416,+
Slco5a1,ENSMUSG00000025938,1,12936773,13062874,-
Gm29283,ENSMUSG00000099498,1,13139062,13148886,+
Prdm14,ENSMUSG00000042414,1,13183681,13197387,-
Ncoa2,ENSMUSG00000005886,1,13209329,13444307,-
Gm55160,ENSMUSG00002076346,1,13332422,13332503,+
Gm23169,ENSMUSG00000087782,1,13404722,13404833,-
Gm29570,ENSMUSG00000101476,1,13446294,13458637,+
Tram1,ENSMUSG00000025935,1,13634922,13660134,-
Lactb2,ENSMUSG00000025937,1,13693554,13730770,-
Xkr9,ENSMUSG00000067813,1,13738995,13771947,+
Gm26273,ENSMUSG00000077368,1,13844558,13844688,-
Eya1,ENSMUSG00000025932,1,14239178,14380459,-
Gm55247,ENSMUSG00002075819,1,14252802,14252901,+
Gm9947,ENSMUSG00000054493,1,14823161,14847155,+
Msc,ENSMUSG00000025930,1,14823570,14826216,-
Trpa1,ENSMUSG00000032769,1,14942872,14989086,-
Gm26345,ENSMUSG00000088159,1,15089264,15089383,-
Kcnb2,ENSMUSG00000092083,1,15357478,15793974,+
Gm25227,ENSMUSG00000088829,1,15756159,15756270,-
Gm25168,ENSMUSG00000077377,1,15828056,15828187,+
Terf1,ENSMUSG00000025925,1,15875870,15914276,+
Sbspon,ENSMUSG00000032719,1,15924086,15962946,-
4930444P10Rik,ENSMUSG00000067795,1,16136203,16163549,-
Rpl7,ENSMUSG00000043716,1,16171519,16174886,-
Rdh10,ENSMUSG00000025921,1,16175998,16203958,+
Gm28095,ENSMUSG00000100868,1,16298730,16314286,+
Stau2,ENSMUSG00000025920,1,16298898,16590336,-
Gm7568,ENSMUSG00000089982,1,16323816,16338145,+
Ube2w,ENSMUSG00000025939,1,16611014,16689713,-
Eloc,ENSMUSG00000079658,1,16711949,16727266,-
D030040B21Rik,ENSMUSG00000097744,1,16727776,16732502,+
Tmem70,ENSMUSG00000025940,1,16735431,16748499,+
Ly96,ENSMUSG00000025779,1,16758275,16779835,+
Gm28376,ENSMUSG00000101640,1,16968409,17161855,+
Jph1,ENSMUSG00000042686,1,17034784,17168113,-
Gm28783,ENSMUSG00000100110,1,17194971,17199180,+
Gdap1,ENSMUSG00000025777,1,17215586,17234495,+
Gm28784,ENSMUSG00000099899,1,17238627,17243327,+
Gm25166,ENSMUSG00000089534,1,17590225,17590335,+
Pi15,ENSMUSG00000067780,1,17672125,17701163,+
Gm28154,ENSMUSG00000100053,1,17685308,17711305,-
Gm16070,ENSMUSG00000085125,1,17746251,17797870,-
Crispld1,ENSMUSG00000025776,1,17797269,17836568,+
Gm28153,ENSMUSG00000099895,1,17812139,17875641,-
Gm28756,ENSMUSG00000109887,1,18064686,18129280,-
Crisp4,ENSMUSG00000025774,1,18185415,18216126,-
Defb18,ENSMUSG00000073735,1,18306697,18307667,-
Defb41,ENSMUSG00000067773,1,18321204,18335362,-
Gm24075,ENSMUSG00000088800,1,19039986,19040057,-
Gm15825,ENSMUSG00000089787,1,19133524,19175064,-
Tfap2d,ENSMUSG00000042596,1,19173246,19236570,+
Tfap2b,ENSMUSG00000025927,1,19279138,19308800,+
Gm28340,ENSMUSG00000100538,1,19312949,19313993,+
Gm55451,ENSMUSG00002076883,1,19584079,19584143,-
Pkhd1,ENSMUSG00000043760,1,20128003,20688288,-
4930486I03Rik,ENSMUSG00000089914,1,20426676,20462524,+
Gm24162,ENSMUSG00000070175,1,20515035,20515136,-
Lincmd1,ENSMUSG00000099906,1,20740106,20754522,+
Mir206,ENSMUSG00000065559,1,20749234,20749306,+
Mir133b,ENSMUSG00000065480,1,20752993,20753111,+
Il17a,ENSMUSG00000025929,1,20801129,20804720,+
Il17f,ENSMUSG00000041872,1,20847370,20860841,-
Mcm3,ENSMUSG00000041859,1,20873192,20890536,-
Gm28065,ENSMUSG00000102121,1,20906885,20909913,+
Gm24723,ENSMUSG00000088858,1,20912759,20912890,-
6720483E21Rik,ENSMUSG00000097934,1,20958874,20960697,-
Paqr8,ENSMUSG00000025931,1,20960830,21009874,+
Gm24171,ENSMUSG00000077314,1,20985634,20985764,-
Efhc1,ENSMUSG00000041809,1,21021850,21061065,+
Tram2,ENSMUSG00000041779,1,21066523,21149453,-
Gm28287,ENSMUSG00000099971,1,21150338,21151972,+
Tmem14a,ENSMUSG00000025933,1,21288799,21300391,+
Gsta3,ENSMUSG00000025934,1,21310813,21335885,+
Gm28836,ENSMUSG00000099343,1,21320583,21341817,-
Khdc1a,ENSMUSG00000067750,1,21419865,21422424,+
Khdc1c,ENSMUSG00000041722,1,21438555,21441069,+
Khdc1b,ENSMUSG00000085079,1,21453780,21456597,+
Kcnq5,ENSMUSG00000028033,1,21468627,22032166,-
Rims1,ENSMUSG00000041670,1,22356475,22845203,-
Gm29506,ENSMUSG00000101227,1,23087376,23274754,-
Ppp1r14bl,ENSMUSG00000073730,1,23139554,23141334,-
Gm24176,ENSMUSG00000089553,1,23284292,23284412,+
Mir30a,ENSMUSG00000065405,1,23311350,23311420,+
Gm27028,ENSMUSG00000097970,1,23330618,23331016,+
Mir30c-2,ENSMUSG00000065567,1,23330782,23330865,+
Gm29107,ENSMUSG00000100775,1,23332810,23333156,+
Ogfrl1,ENSMUSG00000026158,1,23405505,23436853,-
Gm28822,ENSMUSG00000099503,1,23613668,23635745,+
B3gat2,ENSMUSG00000026156,1,23800834,23888239,+
Smap1,ENSMUSG00000026155,1,23883927,23961398,-
Sdhaf4,ENSMUSG00000026154,1,24035020,24044737,-
Fam135a,ENSMUSG00000026153,1,24050174,24139422,-
Col9a1,ENSMUSG00000026147,1,24216691,24291765,+
Col19a1,ENSMUSG00000026141,1,24300971,24626553,-
Gm26418,ENSMUSG00000077463,1,24587922,24588058,-
Lmbrd1,ENSMUSG00000073725,1,24717711,24805382,+
Gm28237,ENSMUSG00000100483,1,25002290,25004239,-
Gm29414,ENSMUSG00000099392,1,25065662,25066313,-
Adgrb3,ENSMUSG00000033569,1,25106557,25868788,-
Gm22260,ENSMUSG00000119153,1,25318526,25318632,-
Gm25294,ENSMUSG00000084740,1,25490152,25490255,+
Gm24064,ENSMUSG00000088111,1,26605914,26606019,+
4931408C20Rik,ENSMUSG00000073722,1,26720895,26726541,-
n-R5s209,ENSMUSG00000119695,1,26998184,26998302,-
Gm5524,ENSMUSG00000101514,1,27923059,27941903,+
Gm597,ENSMUSG00000048411,1,28815198,28819333,-
Gm55769,ENSMUSG00002076857,1,29340561,29340660,+
Gm55770,ENSMUSG00002074912,1,29400356,29400451,-
Mir6342,ENSMUSG00000099257,1,29460569,29460693,+
Gm55771,ENSMUSG00002075317,1,30025015,30025124,+
Gm55772,ENSMUSG00002075289,1,30372372,30372478,-
